essay_id,prompt,essay_text,task_directions,essay_set,score,trait_scores,trait_explanations,holistic_explanation
1194,"Censorship in the Libraries
""All of us can think of a book that we hope none of our children or any other children have taken
off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then
you also have exactly the same right and so does everyone else. And then we have no books
left on the shelf for any of us."" --Katherine Paterson, Author","Letter to the @CAPS1 I disagree with the so-called ""experts"" that claim that computers could have negative effects on people. The idea that you socialize less with family and friends is a pathetic arguement. Social networking sites like @CAPS2 or @CAPS3 allow @CAPS22 with all your friends @CAPS4 and other online games help you met new people that could be hundreds of miles away from you! Twiter is good when you just want to say something quick like ""@CAPS5 to @LOCATION1"". @CAPS18 allows you to talk to friends, comment on their videos, and subscribe to them, plus it provides hours of entertainment without a fee. Computers also can provide fun games and entertain users. There are many free games, like @PERSON1, that have endless possibilities. @PERSON1 @PERSON1 (made by @CAPS6) claims to be the most popular @CAPS7 (@CAPS8 @CAPS9 Online @CAPS10-playing @CAPS11) on the web. You can level up combat skills: attack, defence, strength, ranged, and magic. Or you can level up skills like wood cutting, prayer, farming, fishing, mining, and cooking. @PERSON1, like most @CAPS4, has quests, with varying difficulties. For example, for one quest you have to kill a demon, but for another, just find a missing cat. There are over @NUM1 quests, and there are never fewer than @NUM2 people playing at a time. Some other notable @CAPS13 games are @ORGANIZATION1 @CAPS14: @CAPS15, @CAPS16 of @CAPS17, @ORGANIZATION2, @LOCATION2, and @ORGANIZATION1. As you can see, the computer has an impressive list of entertaining @CAPS11 for all ages, not to mention sites like @CAPS18 or addicting games. Computers don't really affect exercising. That's a personal choice, so you have to choose between @CAPS2 or the basketball court. It's like saying that before we had computers or video @CAPS11 consoles, that a @CAPS20 board stopped kids from exercising. The computer doesn't actually stop us from exercising. It's our minds that do, and our judgement. If you have bad judgement, you'd stay inside all day tweeting and @CAPS21. With a good strong mind and willpower, you can overcome a bad decision and play sports or go to the gym. All it takes is good judgement. Just to recap what I've said, @CAPS22 is plenty on computers and there are many choices on how to do it. Many sites amuse us, and we should make use of that. Not to mention you can buy games like @CAPS16 of @CAPS17 or @ORGANIZATION1 @CAPS14: @CAPS15 for your @CAPS13! Computers don't actually hinder exercising, all it takes is good judgement to get off that chair and exercise.","Write a persuasive essay to a newspaper reflecting your views on censorship in libraries.
Do you believe that certain materials, such as books, music, movies, magazines, etc.,
should be removed from the shelves if they are found offensive? Support your position
with convincing arguments from your own experience, observations, and/or reading.",1,5,"{'Content': 4, 'Organization': 4, 'Word Choice': 5, 'Sentence Fluency': 5, 'Conventions': 5}","{'Content': '', 'Organization': '', 'Word Choice': '', 'Sentence Fluency': '', 'Conventions': ''}",
1728,"Censorship in the Libraries
""All of us can think of a book that we hope none of our children or any other children have taken
off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then
you also have exactly the same right and so does everyone else. And then we have no books
left on the shelf for any of us."" --Katherine Paterson, Author","Dear @CAPS1 @CAPS2 I believe that there is more and more controvosy about computer and whether they benefit society or not. In my opinion, computers are a wonderful resource that will soon become a household item. I am writing to persuade you that computers have a positive effect on people. I believe computers are a good thing because they allow people access to more knowledge, they allow people to stay in contact with people they dont see very often, and they allow people to keep up and know whats going on in modern life. One reason computers are useful is that they allow people to stay in contact with people they don't see very often. Today, parents don't mind sending their children off to college as much because they can actually see them using video chat websites like @ORGANIZATION1. This feature on computers has a big impact on the life of people today. People in @LOCATION1 can talk with people in @LOCATION2. This type of often allows for people to share new and inventive things they've discovered. Another reason computers can be useful is because they help people keep in touch with modern life. Many companies are now erasing newspaper ads and putting them all on computer websites. Some companies are only selling items on their websites and shipping them to the buyers. With computers students can also get their homework done and send it to their teacher by email if they cannot make it to school that day. There is even at home colleges now where you take your class online. I believe that in a few years from now more and more people will do business with computers and more stores will sell online only. Finally the last reason I believe computers are a good idea is that they allow people access to more knowledge with the internet. There are websites soldy devoted to history and information on many things. Also there are blogging websites where people can debate on information or get questions answired by real people who @MONTH1 know a lot about the topic. Another thing on computers that helps you get informed is websites like wikipedia where people can search a topic, read history about it, and follow links to other websites if they want to pick apart the topic even more. Overall, I believe that computers area a great resource to human kind and will be used for more and more things in a few years. I believe computers are useful because they allow people access to more knowledge, the ability to keep in touch with others, and to keep in touch with modern life. I believe that in a couple years there will be liss stores on the streets and most will be online because it is much cheaper for the companies. So, most people in a couple years will be computers and use them effectively.","Write a persuasive essay to a newspaper reflecting your views on censorship in libraries.
Do you believe that certain materials, such as books, music, movies, magazines, etc.,
should be removed from the shelves if they are found offensive? Support your position
with convincing arguments from your own experience, observations, and/or reading.",1,5,"{'Content': 5, 'Organization': 4, 'Word Choice': 4, 'Sentence Fluency': 4, 'Conventions': 4}","{'Content': '', 'Organization': '', 'Word Choice': '', 'Sentence Fluency': '', 'Conventions': ''}",
652,"Censorship in the Libraries
""All of us can think of a book that we hope none of our children or any other children have taken
off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then
you also have exactly the same right and so does everyone else. And then we have no books
left on the shelf for any of us."" --Katherine Paterson, Author","Dear Local newspaper, I agree that computers have an effect on people. It helps people learn hand-eye coordination, give people the ability to learn a far places and you can talk online with other people. Computers teach hand-eye coordination. As @CAPS1 grow up, they learn about letters of the alphabet and spelling. There are many online programs that teach @CAPS1 how to type. Once the @CAPS1 get in learning how to type, they end up typing fast. Computers help @CAPS1 of future learn & with all these learning websites, @CAPS1 will be able ti teach them solves new things. Isn't it a blessing to be able to meet people from a far? You'll get ot learn there cultures. Would you want to know something about? They make daily go around, there you'll you? Well its so learning a new culture is a faster way of making friends. Have you connect. Oneday i will people who dont just want to be friends, maybe more than that. Be positive about online chatting, or online dating services. As you can see for my reasons above, the computer has an effect on people. The computer teaches you hand-eye coordination, it also gives you the ability to learn afar places & people, and it allows you to chat with other online people. Make sure you stay positive & be safe on the computers.","Write a persuasive essay to a newspaper reflecting your views on censorship in libraries.
Do you believe that certain materials, such as books, music, movies, magazines, etc.,
should be removed from the shelves if they are found offensive? Support your position
with convincing arguments from your own experience, observations, and/or reading.",1,5,"{'Content': 3, 'Organization': 3, 'Word Choice': 3, 'Sentence Fluency': 4, 'Conventions': 4}","{'Content': '', 'Organization': '', 'Word Choice': '', 'Sentence Fluency': '', 'Conventions': ''}",
362,"Censorship in the Libraries
""All of us can think of a book that we hope none of our children or any other children have taken
off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then
you also have exactly the same right and so does everyone else. And then we have no books
left on the shelf for any of us."" --Katherine Paterson, Author","Newspaper, I feel that the use of computers is no big deal. it is a convienient way to communicate, it teaches young adults and adults social and life skills, and is no different than other addictions. These three reasons are why I feel the @ORGANIZATION1 is under-appreciated. My firsty reason why I feel that the @ORGANIZATION1 is under-appreciated is that some people think that less time is spend with family, but I talk to family, and friends everytime on the @ORGANIZATION1. It is a conveinient, fast, and for the most part safe way of communicating. When I need help with something, I sit at the @ORGANIZATION1 and fb chat someone, or if their not on, I e-mail them. I get my answer within a day. Also you can look up the answer online, the internet is a beautifully smart device. Also if you call someone versus chating on the @ORGANIZATION1 you @MONTH1 have no idea who they are, it is also much easier to trace a call then trace a @ORGANIZATION1 to a certain location. Communication is faster, safer, and more conveinient over the @ORGANIZATION1. My second reason for being @NUM1 is that it can help teach said and life skills. For example, did you know that on average, an adult will make @MONEY1 more if they know how to type good, and fast? The @ORGANIZATION1 serves many functions. Facebook, for example, is a social network, amny young adults can learn basic social skills by having a facebook. Social skills play a very important role when you are finding a job for the first time. If you have good social skills, your boss @MONTH1 like, and apreciate you more. Which can only lead to a promotion! Computers are very nifly to have around! my third, and final reason, for believing, with all respect, that @NUM2 people are blinded, is that people don't easily get addicted to the @ORGANIZATION1. It is very hard to become addicted to the @ORGANIZATION1. Only about @PERCENT3 of facebook users are addicted. Compared to an alcohol addiction, about @PERCENT1, or drug addiction, @PERCENT2, @ORGANIZATION1 addiction is microscopic, and not to mention, not deadly. The only similarity between the @ORGANIZATION1, and other deadlier addictions is that they are addicted, and @MONTH1 become grumpy if asked to stop. ""@ORGANIZATION1 addiction can be cured with a speedy recovery, and as long as you are on for an hour or less a day, there is nothing to worry about"" says @PERSON1, at the @NUM3.) @CAPS1 there you have it, computers use is not a major problem. It is a conveinent communication device, an effective way to learn social, and life skills, and is no huge major source of addiction. @CAPS1 there is nothing to worry about. Sit back and look it up on the internet if you don't believe me.","Write a persuasive essay to a newspaper reflecting your views on censorship in libraries.
Do you believe that certain materials, such as books, music, movies, magazines, etc.,
should be removed from the shelves if they are found offensive? Support your position
with convincing arguments from your own experience, observations, and/or reading.",1,5,"{'Content': 4, 'Organization': 4, 'Word Choice': 4, 'Sentence Fluency': 4, 'Conventions': 4}","{'Content': '', 'Organization': '', 'Word Choice': '', 'Sentence Fluency': '', 'Conventions': ''}",
1376,"Censorship in the Libraries
""All of us can think of a book that we hope none of our children or any other children have taken
off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then
you also have exactly the same right and so does everyone else. And then we have no books
left on the shelf for any of us."" --Katherine Paterson, Author","Dear @PERSON1, I am writing a letter to discuss the fact that computers have a negitive effect on the average american, here are my reasons people are not spending much time outside, lack of exersize, do not interact with their family as much. Not spending much time can have a big effect on mother nature. Such as they will begin to care less about our wonderful earth and not care to pollute because if they took the time to go outside instead of running the air conditioner they can save the money and go be with their friends. Lack of exersize can be very bad for your health. Sitting down all day on the computer is not exersize its lazyness. When you exersize you feel good about yourself, your adreniline starts going, you can stay fit and you wan't have to worry about being unhealthy if you take yourself away from the computer. When you do not interact with your family and instead of eating dinner together one persons on the computer and the others are waching @CAPS1. You might argue with your family a lot and don't you want to have a healthy relationship. So why don't you encourage your family to sit down at the table and discuss how your day went. I stated my reasons why I think computers have a negative effect on people. I hope that you agree with my reasons so we can find a way to get everyone their computers and get active.","Write a persuasive essay to a newspaper reflecting your views on censorship in libraries.
Do you believe that certain materials, such as books, music, movies, magazines, etc.,
should be removed from the shelves if they are found offensive? Support your position
with convincing arguments from your own experience, observations, and/or reading.",1,4,"{'Content': 3, 'Organization': 3, 'Word Choice': 3, 'Sentence Fluency': 3, 'Conventions': 3}","{'Content': '', 'Organization': '', 'Word Choice': '', 'Sentence Fluency': '', 'Conventions': ''}",
170,"Censorship in the Libraries
""All of us can think of a book that we hope none of our children or any other children have taken
off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then
you also have exactly the same right and so does everyone else. And then we have no books
left on the shelf for any of us."" --Katherine Paterson, Author","There are some effects computers have on people that I agree with and disagree with. There are many people in the world that use computers every day and some that use it sometimes. Also it always gives you information everytime you use it. I would think that computers give a positive effect on people. Computers can have their likes and dislikes. Not everytime when you need information the computer won't give it to you. There are some websites that give you the right stuff you want to know and others do not fill your mind with positive things. That is one thing I do not like about computers. Do not think that is too bad because computers have alot more fun adavantages. One of the most common and used thing around the world is instant @CAPS7. Instant @CAPS7 is when you are communicating with another human bean over the online web. Many people use this to get in touch with a close family members or a friend. There are some names for instant @CAPS7 @CAPS1 @CAPS2, @CAPS3, @CAPS4-mail, and many more! Yes, the computer can be very addicting but once in a while you need to get off and maybe get some fresh air. For some people I agree that they stay on the computer to much and became very lazy. This is one disadvantage that can cause you from exercizing and seeing friends and family. There is no problem if you go on for an hour a day maybe more, but to long is not good. There are so many things for the computer I can't name them all @CAPS5, @CAPS6, @ORGANIZATION1, @CAPS7, and even buying things off the computers, those are many of the things you can do on your computer. I love going on the computer time to time doing many things I have talked about. Also if you do have one than reading this @MONTH1 persuade you into getting one. My opinion is that they give you a very positive effect.","Write a persuasive essay to a newspaper reflecting your views on censorship in libraries.
Do you believe that certain materials, such as books, music, movies, magazines, etc.,
should be removed from the shelves if they are found offensive? Support your position
with convincing arguments from your own experience, observations, and/or reading.",1,4,"{'Content': 3, 'Organization': 3, 'Word Choice': 3, 'Sentence Fluency': 4, 'Conventions': 4}","{'Content': '', 'Organization': '', 'Word Choice': '', 'Sentence Fluency': '', 'Conventions': ''}",
1686,"Censorship in the Libraries
""All of us can think of a book that we hope none of our children or any other children have taken
off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then
you also have exactly the same right and so does everyone else. And then we have no books
left on the shelf for any of us."" --Katherine Paterson, Author",Dear: @CAPS1 @CAPS2 @CAPS3. My name is @PERSON1 and I am concernd about people around the world are use computer is to much during the day. Some compute's are bad because there are glitche's in the computer and every one has a myspace and myspaces has a viries and it leaves a vires in your computer and your computer shut's down or goes slow. Also people can hack your computer and you cant find out about and every thing that was on your computer can go around the world. People can kno your most secread's and more. Finly you can get caught macking movies on your computer and go to jail and your business will be out.,"Write a persuasive essay to a newspaper reflecting your views on censorship in libraries.
Do you believe that certain materials, such as books, music, movies, magazines, etc.,
should be removed from the shelves if they are found offensive? Support your position
with convincing arguments from your own experience, observations, and/or reading.",1,3,"{'Content': 1, 'Organization': 1, 'Word Choice': 2, 'Sentence Fluency': 1, 'Conventions': 1}","{'Content': '', 'Organization': '', 'Word Choice': '', 'Sentence Fluency': '', 'Conventions': ''}",
1629,"Censorship in the Libraries
""All of us can think of a book that we hope none of our children or any other children have taken
off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then
you also have exactly the same right and so does everyone else. And then we have no books
left on the shelf for any of us."" --Katherine Paterson, Author","Dear Newspaper, I am writing this better to explain to you how more people in our society would benefit from using computer you can do work in less time it would take to do it manualy. You can interact and make more friends by talking or web chating. Not to forget that it is more entertaning. That is what computers were made for. To help us with tasks or for our personal use. How do computers though help us with work? Lets say that you are having a buisness meeting and you have to write a five page report with pictures and a graphs. It would take you twice the time to do that by hand then with a computer. With a computer, you can type you work which makes it much neater and looks more proffesional, You can copy and paste your images that you can @CAPS1 on the internet. With graph making software, you can easily plug in the data you have collected and the computer will do the rest. If you had to do this by hand, you would have to write extremly neat, @CAPS1 pictures in a newspaper or mabe, even draw them. Then you would have to make the graph by hand making sure not to mess up. It makes it twice as hard, to do a simple task with a computer. What if you want to talk to a friend? With a computer you can easily talk to a friend as to having to write a letter or talk on the phone with a computer you can either chat with a person with writing or even being able to see them on you computer screen. Instead of just hearing voice or waiting two or three days to talk to them. If you have a laptop you can talk to them were every they go or you go. Being able to see the person at your convinience to talk without having to leave you house is a very good thing to have. The benifit are major and it doesn't cost anything to chat. If you have a friend or relative that lives very far away, you can easily go at talk and have a video conference. What about entertainment? The computer is a very valuable too! but we can fun, we can play games or watch videos at as convinience. They don't cost a lot to download at all, they can be played with friends on a web chat or by yourself. Videos you can watch all the time with no ads to interupt you can pause the video too. This is more efficie, they care I very convinient for the average person. Playing games were ever you go is good and again don't art to play or. In conclusion I think that people would be more from using computers this is because it is easier to work with. We can interact with each other. Use it for entertainment. Technology was made to make things easier do we should take advantage of it.","Write a persuasive essay to a newspaper reflecting your views on censorship in libraries.
Do you believe that certain materials, such as books, music, movies, magazines, etc.,
should be removed from the shelves if they are found offensive? Support your position
with convincing arguments from your own experience, observations, and/or reading.",1,5,"{'Content': 5, 'Organization': 5, 'Word Choice': 5, 'Sentence Fluency': 5, 'Conventions': 5}","{'Content': '', 'Organization': '', 'Word Choice': '', 'Sentence Fluency': '', 'Conventions': ''}",
167,"Censorship in the Libraries
""All of us can think of a book that we hope none of our children or any other children have taken
off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then
you also have exactly the same right and so does everyone else. And then we have no books
left on the shelf for any of us."" --Katherine Paterson, Author","Dear local newspaper, @CAPS1 are beinging questioned if the are good for our society or not. I would have to say that they are good and bad you really can't pick a side. These good because children and teens can get the information they need to teach in school, it allows people to chat with others in different places, and it helps hand-eye cordanation. Those were the good here are some bad things about compters. People spend to much time on the computer instead of exercising, they dont' get to enjoy nature, and people stop interacting with friends and family. Anyone can pick a side. I just can't, because i can relate to both sides. For example. one of the good reasons about computers was that you can chat's with other people around the world. I can relate to that because when i live here in @CAPS2 @CAPS3 my mom and stepdad live in @LOCATION1, @LOCATION2 so i don't see them much but thanks to computer i can chat. With them when ever i want to. Honestly i wouldn't know how my life would be like if i didn't have a computer and i wasn't able I @CAPS4 now. Although, can also to one or the bad things about computers, which is that people spent to much time on the them. I can relate to that and so could of the other well, because when i around @NUM1 because go to a after school, go straight on my laptop and around @NUM2. When my grandma @NUM3 pm. She always comes in and ""Your on that thing to much you your hands!"" in her. So in my opinion I believe that coumpters can be good for our socity and bad; for me there is no side to take. Others might feel the same way, and others @MONTH1 not. It's up to them to make a choice, so ask your self,"" @CAPS4 you believe that computers are good or bad for our society?","Write a persuasive essay to a newspaper reflecting your views on censorship in libraries.
Do you believe that certain materials, such as books, music, movies, magazines, etc.,
should be removed from the shelves if they are found offensive? Support your position
with convincing arguments from your own experience, observations, and/or reading.",1,4,"{'Content': 3, 'Organization': 3, 'Word Choice': 3, 'Sentence Fluency': 3, 'Conventions': 3}","{'Content': '', 'Organization': '', 'Word Choice': '', 'Sentence Fluency': '', 'Conventions': ''}",
827,"Censorship in the Libraries
""All of us can think of a book that we hope none of our children or any other children have taken
off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then
you also have exactly the same right and so does everyone else. And then we have no books
left on the shelf for any of us."" --Katherine Paterson, Author",I think computers have a postitive affect on people. Computers are very important to society. You can still interact with Your Family and friends either in @CAPS1 chat or @CAPS2. Computer are also helpful for applying for @CAPS3 like you can look for @CAPS3 you like. You can do @CAPS5 exciseses and useful for @CAPS5 essays. If you have a laptop you can bring it anywhere you want you don't have connect anything it take wireless and you can connect to the @CAPS6. You can look up stuff on the @CAPS6 for your homework and other stuff. Buy things without having to go to the store. These are reasons why computers have a postitive affect on people.,"Write a persuasive essay to a newspaper reflecting your views on censorship in libraries.
Do you believe that certain materials, such as books, music, movies, magazines, etc.,
should be removed from the shelves if they are found offensive? Support your position
with convincing arguments from your own experience, observations, and/or reading.",1,3,"{'Content': 2, 'Organization': 2, 'Word Choice': 2, 'Sentence Fluency': 2, 'Conventions': 2}","{'Content': '', 'Organization': '', 'Word Choice': '', 'Sentence Fluency': '', 'Conventions': ''}",
